period,state,stateName,technology,sector,sectorName,capacity,customers,capacity-units,customers-units
2017,OR,Oregon,All Technologies,TOT,all sectors,116.127,15983,megawatts,number of customers
2017,OR,Oregon,All Technologies,TRN,transportation,0,0,megawatts,number of customers
2017,OR,Oregon,Other Technologies,COM,commercial,2.151,30,megawatts,number of customers
2017,OR,Oregon,Other Technologies,IND,industrial,2.51,4,megawatts,number of customers
2017,OR,Oregon,Other Technologies,RES,residential,.247,28,megawatts,number of customers
2017,OR,Oregon,Other Technologies,TOT,all sectors,4.908,62,megawatts,number of customers
2017,OR,Oregon,Other Technologies,TRN,transportation,0,0,megawatts,number of customers
2017,OR,Oregon,Photovoltaic,COM,commercial,40.752,1312,megawatts,number of customers
2017,OR,Oregon,Photovoltaic,IND,industrial,8.938,214,megawatts,number of customers
2017,OR,Oregon,Photovoltaic,RES,residential,60.588,14243,megawatts,number of customers
2017,OR,Oregon,Photovoltaic,TOT,all sectors,110.278,15769,megawatts,number of customers
2017,OR,Oregon,Photovoltaic,TRN,transportation,0,0,megawatts,number of customers
2017,OR,Oregon,Wind,COM,commercial,.491,22,megawatts,number of customers
2017,OR,Oregon,Wind,IND,industrial,0,0,megawatts,number of customers
2017,OR,Oregon,Wind,RES,residential,.417,58,megawatts,number of customers
2017,OR,Oregon,Wind,TOT,all sectors,.908,80,megawatts,number of customers
2017,OR,Oregon,Wind,TRN,transportation,0,0,megawatts,number of customers
2017,PA,Pennsylvania,All Technologies,COM,commercial,145.487,1547,megawatts,number of customers
2017,PA,Pennsylvania,All Technologies,IND,industrial,48.429,116,megawatts,number of customers
2017,PA,Pennsylvania,All Technologies,RES,residential,141.925,18661,megawatts,number of customers
2017,PA,Pennsylvania,All Technologies,TOT,all sectors,335.84,20324,megawatts,number of customers
2017,PA,Pennsylvania,All Technologies,TRN,transportation,0,0,megawatts,number of customers
2017,PA,Pennsylvania,Other Technologies,COM,commercial,31.975,53,megawatts,number of customers
2017,PA,Pennsylvania,Other Technologies,IND,industrial,7.26,6,megawatts,number of customers
2017,PA,Pennsylvania,Other Technologies,RES,residential,.15,11,megawatts,number of customers
2017,PA,Pennsylvania,Other Technologies,TOT,all sectors,39.385,70,megawatts,number of customers
2017,PA,Pennsylvania,Other Technologies,TRN,transportation,0,0,megawatts,number of customers
2017,PA,Pennsylvania,Photovoltaic,COM,commercial,101.38,1308,megawatts,number of customers
2017,PA,Pennsylvania,Photovoltaic,IND,industrial,41.166,109,megawatts,number of customers
2017,PA,Pennsylvania,Photovoltaic,RES,residential,139.559,18333,megawatts,number of customers
2017,PA,Pennsylvania,Photovoltaic,TOT,all sectors,282.104,19750,megawatts,number of customers
2017,PA,Pennsylvania,Photovoltaic,TRN,transportation,0,0,megawatts,number of customers
2017,PA,Pennsylvania,Wind,COM,commercial,.534,54,megawatts,number of customers
2017,PA,Pennsylvania,Wind,IND,industrial,.003,1,megawatts,number of customers
2017,PA,Pennsylvania,Wind,RES,residential,1.034,252,megawatts,number of customers
2017,PA,Pennsylvania,Wind,TOT,all sectors,1.571,307,megawatts,number of customers
